id;name;symbol;slug
1;Bitcoin;BTC;bitcoin-btc
2;Ethereum;ETH;ethereum-eth
3;XRP;XRP;xrp-xrp
8;Tether;USDT;tether-usdt
4;Bitcoin Cash;BCH;bitcoincash-bch
7;Litecoin;LTC;litecoin-ltc
5;EOS;EOS;eos-eos
14;Binance Coin;BNB;binancecoin-bnb
4875;Bitcoin SV;BSV;bitcoinsv-bsv
18;Tezos;XTZ;tezos-xtz
6;Stellar;XLM;stellar-xlm
9;Cardano;ADA;cardano-ada
11;TRON;TRX;tron-trx
10;Monero;XMR;monero-xmr
14755;LEO;LEO*;leo-leo
4966;Cosmos;ATOM*;cosmos-atom
59;Chainlink;LINK;chainlink-link
1524;OKB;OKB;okb-okb
71;Huobi Token;HT;huobitoken-ht
15;NEO;NEO;neo-neo
12;IOTA;MIOTA;iota-miota
1760;USDC;USDC;usdc-usdc
13;Dash;DASH;dash-dash
16;Ethereum Classic;ETC;ethereumclassic-etc
22;Maker;MKR;maker-mkr
10296;Crypto.com Chain;CRO;cryptocomchain-cro
26;Ontology;ONT;ontology-ont
19;VeChain;VET;vechain-vet
17;NEM;XEM;nem-xem
20;Dogecoin;DOGE;dogecoin-doge
46;Basic Attention Token;BAT;basicattentiontoken-bat
21;Zcash;ZEC;zcash-zec
1694;Paxos Standard;PAX;paxosstandard-pax
28;Decred;DCR;decred-dcr
274;TrueUSD;TUSD;trueusd-tusd
29;QTUM;QTUM;qtum-qtum
25;0x;ZRX;0x-zrx
11567;FCoin Token;FT*;fcointoken-ft
14585;Algorand;ALGO;algorand-algo
51;Holo;HOT*;holo-hot
583;ThoreCoin;THR;thorecoin-thr
50;Augur;REP;augur-rep
35;Nano;NANO;nano-nano
143;Centrality;CENNZ;centrality-cennz
24;OmiseGo;OMG;omisego-omg
23;Bitcoin Gold;BTG;bitcoingold-btg
62558;Nervos Network;CKB;nervosnetwork-ckb
4157;ZB Token;ZB;zbtoken-zb
58;Cryptonex;CNX;cryptonex-cnx
302;Seele;SEELE;seele-seele
